"organisation_name","category","suburb","postcode","state","address_line","lga","phone","public_email","website_url","contact_form_url","tags","workshop_relevance","source_url","last_verified","notes","lat","lon","website_checked","email_quality"
"Autism SA","Disability & NDIS Services","Linden Park","5065","SA","Unit 1/98 Magill Rd, City of Burnside","(08) 8379 6976","admin@autismsa.org.au","https://www.autismsa.org.au","https://www.autismsa.org.au/contact-us/","autism;NDIS;disability;support;SA","High","https://www.autismsa.org.au","2026-03-10","Peak body for autism in SA; runs programs and support groups","","","","true","valid"
"Novita","Disability & NDIS Services","Regency Park","5010","SA","461 Regency Rd, City of Port Adelaide Enfield","(08) 8269 7000","novita@novita.org.au","https://www.novita.org.au","https://www.novita.org.au/contact-us/","disability;NDIS;children;therapy;allied health","High","https://www.novita.org.au","2026-03-10","Children's disability services provider across SA","","","","true","valid"
"Can:Do Group","Disability & NDIS Services","Glenside","5065","SA","51 Pennington Tce, City of Burnside","(08) 8100 8200","info@candogroup.org.au","https://www.candogroup.org.au","https://www.candogroup.org.au/contact/","disability;hearing;vision;NDIS;inclusion","High","https://www.candogroup.org.au","2026-03-10","Supports people with sensory and physical disability","","","","true","valid"
"Uniting Communities","NGOs/Charities (family, disability, mental health)","Adelaide","5000","SA","63 Pennington Tce, City of Adelaide","(08) 8202 5134","enquiries@unitingcommunities.org","https://www.unitingcommunities.org","https://www.unitingcommunities.org/contact-us/","family;disability;mental health;community;counselling","High","https://www.unitingcommunities.org","2026-03-10","Large SA-based community services NGO","","","","true","valid"
"AnglicareSA","NGOs/Charities (family, disability, mental health)","Adelaide","5000","SA","19 King William Rd, City of Adelaide","(08) 8305 9200","enquiries@anglicaresa.com.au","https://www.anglicaresa.com.au","https://www.anglicaresa.com.au/contact/","family;disability;aged care;community;NDIS","High","https://www.anglicaresa.com.au","2026-03-10","Major SA social services provider","","","","true","valid"
"Centacare Catholic Family Services","NGOs/Charities (family, disability, mental health)","Wayville","5034","SA","45 Wakefield St, City of Unley","(08) 8215 6700","centacare@centacare.org.au","https://www.centacare.org.au","","family;counselling;disability;community;faith","High","https://www.centacare.org.au","2026-03-10","Catholic family services across SA","","","","true","valid"
"Junction Australia","NGOs/Charities (family, disability, mental health)","Prospect","5082","SA","116 Prospect Rd, City of Prospect","(08) 8269 6152","junction@junction.org.au","https://www.junction.org.au","https://www.junction.org.au/contact/","youth;family;housing;community;support","High","https://www.junction.org.au","2026-03-10","SA-based community support organisation","","","","true","valid"
"ac.care","NGOs/Charities (family, disability, mental health)","Murray Bridge","5253","SA","9 Bridge St, Rural City of Murray Bridge","(08) 8532 1702","admin@accare.org.au","https://www.accare.org.au","","family;community;rural;support;disability","High","https://www.accare.org.au","2026-03-10","Supports communities in regional SA","","","","true","valid"
"Relationships Australia SA","NGOs/Charities (family, disability, mental health)","Adelaide","5000","SA","49A Orsmond St, City of Adelaide","(08) 8223 4566","rasa@rasa.org.au","https://www.rasa.org.au","https://www.rasa.org.au/contact-us/","counselling;family;relationships;mental health;community","High","https://www.rasa.org.au","2026-03-10","Counselling and relationship support services","","","","true","valid"
"Child and Family Health Service SA (CaFHS)","Early Childhood & Family Services","Adelaide","5000","SA","295 South Tce, City of Adelaide","(08) 8161 6900","","https://www.cafhs.sa.gov.au","https://www.cafhs.sa.gov.au/contact-us/","early childhood;family;health;parenting;universal","High","https://www.cafhs.sa.gov.au","2026-03-10","SA Government child and family health service","","","","true","missing"
"Torrens University Child Development Clinic","Allied Health (OT, Speech, Psych)","Adelaide","5000","SA","88 Light Square, City of Adelaide","(08) 8113 7000","","https://www.torrens.edu.au","","allied health;OT;speech;child development;autism","High","https://www.torrens.edu.au","2026-03-10","University-based allied health clinic","","","","true","missing"
"Therapy Focus SA","Allied Health (OT, Speech, Psych)","Modbury","5092","SA","950 North East Rd, City of Tea Tree Gully","(08) 8265 1788","","https://www.therapyfocus.org.au","https://www.therapyfocus.org.au/contact-us/","OT;speech;therapy;NDIS;children","High","https://www.therapyfocus.org.au","2026-03-10","Allied health therapy services across SA","","","","true","missing"
"Disability SA","Disability & NDIS Services","Adelaide","5000","SA","Cnr Pirie and Pulteney St, City of Adelaide","(08) 8413 9000","","https://www.dhs.sa.gov.au/services/disability","","disability;NDIS;government;SA;support","High","https://www.dhs.sa.gov.au","2026-03-10","SA Government disability services","","","","true","missing"
"AbilityFirst Australia (SA)","Disability & NDIS Services","Prospect","5082","SA","58 Prospect Rd, City of Prospect","(08) 8269 3343","","https://www.abilityfirst.org.au","https://www.abilityfirst.org.au/contact/","disability;NDIS;employment;inclusion","High","https://www.abilityfirst.org.au","2026-03-10","Disability employment and support services","","","","true","missing"
"CPL - Choice Passion Life (SA)","Disability & NDIS Services","Mile End","5031","SA","4 Holloway St, City of West Torrens","(08) 8243 8700","","https://www.cpl.org.au","https://www.cpl.org.au/contact-us/","disability;NDIS;therapy;inclusion;children","High","https://www.cpl.org.au","2026-03-10","Queensland-based provider also operating in SA","","","","true","missing"
"Cara","Disability & NDIS Services","Glenelg","5045","SA","66 Jetty Rd, City of Holdfast Bay","(08) 8294 6111","info@cara.org.au","https://www.cara.org.au","https://www.cara.org.au/contact/","disability;NDIS;community;support;inclusion","High","https://www.cara.org.au","2026-03-10","SA disability support organisation","","","","true","valid"
"Aboriginal Health Council of South Australia","Aboriginal & Torres Strait Islander Services","Adelaide","5000","SA","253 Grenfell St, City of Adelaide","(08) 8273 6500","ahcsa@ahcsa.org.au","https://www.ahcsa.org.au","","Aboriginal;health;community;First Nations;SA","High","https://www.ahcsa.org.au","2026-03-10","Peak Aboriginal health body for SA","","","","true","valid"
"Nunkuwarrin Yunti of SA","Aboriginal & Torres Strait Islander Services","Adelaide","5000","SA","182 Wakefield St, City of Adelaide","(08) 8406 1600","admin@nunku.org.au","https://www.nunku.org.au","","Aboriginal;health;family;community;SA","High","https://www.nunku.org.au","2026-03-10","Aboriginal community organisation providing health and family services","","","","true","valid"
"Tauondi Inc","Aboriginal & Torres Strait Islander Services","Port Adelaide","5015","SA","3 Deacon Pl, City of Port Adelaide Enfield","(08) 8240 0999","","https://www.tauondi.com.au","https://www.tauondi.com.au/contact/","Aboriginal;education;training;community;SA","High","https://www.tauondi.com.au","2026-03-10","Aboriginal community college and services","","","","true","missing"
"Pika Wiya Health Service","Aboriginal & Torres Strait Islander Services","Port Augusta","5700","SA","5 Leitch Tce, City of Port Augusta","(08) 8641 0400","","https://www.pikawiya.org.au","","Aboriginal;health;remote;SA;community","High","https://www.pikawiya.org.au","2026-03-10","Aboriginal health service in upper Spencer Gulf region","","","","true","missing"
"Multicultural Communities Council of SA","Multicultural & Settlement Services","Hindmarsh","5007","SA","111 Rupert Ave, City of Charles Sturt","(08) 8346 9831","mccsa@mccsa.org.au","https://www.mccsa.org.au","https://www.mccsa.org.au/contact/","multicultural;settlement;community;diversity;SA","High","https://www.mccsa.org.au","2026-03-10","Peak multicultural body in SA","","","","true","valid"
"Australian Migrant Resource Centre","Multicultural & Settlement Services","Adelaide","5000","SA","49 Pennington Tce, City of Adelaide","(08) 8217 9500","amrc@amrc.org.au","https://www.amrc.org.au","https://www.amrc.org.au/contact-us","settlement;migrant;multicultural;community;support","High","https://www.amrc.org.au","2026-03-10","Settlement and support services for migrants and refugees","","","","true","valid"
"Multicultural Youth SA","Multicultural & Settlement Services","Adelaide","5000","SA","64 Pennington Tce, City of Adelaide","(08) 8231 9988","info@mysa.org.au","https://www.mysa.org.au","https://www.mysa.org.au/contact/","multicultural;youth;settlement;community;diversity","High","https://www.mysa.org.au","2026-03-10","Youth services for culturally diverse young people in SA","","","","true","valid"
"Migrant Health Service SA","Multicultural & Settlement Services","Hindmarsh","5007","SA","Level 1/111 Rupert Ave, City of Charles Sturt","(08) 8234 6660","","https://www.sahealth.sa.gov.au","","migrant;health;multicultural;settlement;SA","High","https://www.sahealth.sa.gov.au","2026-03-10","State government health service for migrants","","","","true","missing"
"Libraries SA - Adelaide City Library","Councils & Libraries","Adelaide","5000","SA","Corner North Tce and Kintore Ave, City of Adelaide","(08) 8203 7990","","https://www.adelaidecitylibraries.com.au","https://www.adelaidecitylibraries.com.au/contact-us","library;community;events;workshops;public space","High","https://www.adelaidecitylibraries.com.au","2026-03-10","Major public library in Adelaide CBD","","","","true","missing"
"State Library of South Australia","Councils & Libraries","Adelaide","5000","SA","North Tce, City of Adelaide","(08) 8207 7250","","https://www.slsa.sa.gov.au","https://www.slsa.sa.gov.au/contact","library;community;education;SA;events","Medium","https://www.slsa.sa.gov.au","2026-03-10","State-level library with community programs","","","","true","missing"
"Prospect Library","Councils & Libraries","Prospect","5082","SA","128 Prospect Rd, City of Prospect","(08) 8269 5580","","https://www.prospect.sa.gov.au/libraries","","library;community;workshops;suburb;families","High","https://www.prospect.sa.gov.au","2026-03-10","Suburban public library with community programs","","","","true","missing"
"Port Adelaide Library","Councils & Libraries","Port Adelaide","5015","SA","4 Nile St, City of Port Adelaide Enfield","(08) 8405 6600","","https://www.portenf.sa.gov.au/libraries","","library;community;family;events;suburb","High","https://www.portenf.sa.gov.au","2026-03-10","Community library in Port Adelaide","","","","true","missing"
"Marion City Library","Councils & Libraries","Oaklands Park","5046","SA","245 Sturt Rd, City of Marion","(08) 8375 6828","","https://www.marion.sa.gov.au/libraries","","library;family;community;events;workshops","High","https://www.marion.sa.gov.au","2026-03-10","Part of City of Marion library network","","","","true","missing"
"Mitcham Libraries","Councils & Libraries","Mitcham","5062","SA","131 Belair Rd, City of Mitcham","(08) 8372 8888","","https://www.mitcham.sa.gov.au/libraries","","library;community;suburban;family;events","High","https://www.mitcham.sa.gov.au","2026-03-10","City of Mitcham library service","","","","true","missing"
"Salisbury Library","Councils & Libraries","Salisbury","5108","SA","Cnr James & Gawler St, City of Salisbury","(08) 8406 8222","","https://www.salisbury.sa.gov.au/library","","library;northern suburbs;family;community;workshops","High","https://www.salisbury.sa.gov.au","2026-03-10","Library in SA's northern suburbs","","","","true","missing"
"Tea Tree Gully Library","Councils & Libraries","Modbury","5092","SA","571 Montague Rd, City of Tea Tree Gully","(08) 8397 7488","","https://www.teatreegully.sa.gov.au/libraries","","library;community;family;eastern suburbs;events","High","https://www.teatreegully.sa.gov.au","2026-03-10","Northern eastern suburbs library","","","","true","missing"
"Holdfast Bay Library","Councils & Libraries","Glenelg","5045","SA","Colley Tce, City of Holdfast Bay","(08) 8229 9999","","https://www.holdfast.sa.gov.au/libraries","","library;community;coastal;family;workshops","High","https://www.holdfast.sa.gov.au","2026-03-10","Coastal suburb library in Glenelg","","","","true","missing"
"Onkaparinga Libraries","Councils & Libraries","Noarlunga Centre","5168","SA","Corner Beach Rd and Ramsay Ave, City of Onkaparinga","(08) 8384 0666","","https://www.onkaparinga.sa.gov.au/libraries","","library;southern suburbs;family;community;events","High","https://www.onkaparinga.sa.gov.au","2026-03-10","South Adelaide library network","","","","true","missing"
"Adelaide City Council","Councils & Libraries","Adelaide","5000","SA","25 Pirie St, City of Adelaide","(08) 8203 7203","","https://www.cityofadelaide.com.au","https://www.cityofadelaide.com.au/contact-us/","council;local government;Adelaide;community;events","Medium","https://www.cityofadelaide.com.au","2026-03-10","Local government for Adelaide CBD","","","","true","missing"
