"organisation_name","category","suburb","postcode","state","address_line","lga","phone","public_email","website_url","contact_form_url","tags","workshop_relevance","source_url","last_verified","notes","lat","lon","website_checked","email_quality"
"Autism NT","Disability & NDIS Services","Darwin","0800","NT","5 Vanderlin Drive Casuarina","City of Darwin","(08) 8985 6222","admin@autismnt.org.au","https://www.autismnt.org.au","","autism;disability;ndis;advocacy","Peak body for autism in NT; primary partner for workshop promotion and co-delivery.","https://www.autismnt.org.au","2026-03-10","","","","true","valid"
"Carpentaria Disability Services","Disability & NDIS Services","Darwin","0800","NT","113 Bishop Street Woolner","City of Darwin","(08) 8947 4520","info@carpentaria.org.au","https://www.carpentaria.org.au","","disability;ndis;community-access","NT disability services provider; strong community links relevant to autism workshop outreach.","https://www.carpentaria.org.au","2026-03-10","","","","true","valid"
"Anglicare NT","NGOs/Charities (family, disability, mental health)","Darwin","0800","NT","4 Shepherd Street Darwin","City of Darwin","(08) 8985 0000","anglicare@anglicarent.org.au","https://www.anglicarent.org.au","","family-support;disability;community","Major NT charity providing family and disability support; broad community reach for outreach.","https://www.anglicarent.org.au","2026-03-10","","","","true","valid"
"Somerville Community Services","NGOs/Charities (family, disability, mental health)","Darwin","0800","NT","8 Manton Street Darwin","City of Darwin","(08) 8920 4100","info@somerville.org.au","https://www.somerville.org.au","","family-support;disability;aged-care","Long-established NT community services org; relevant families and disability networks.","https://www.somerville.org.au","2026-03-10","","","","true","valid"
"Catholic Care NT","NGOs/Charities (family, disability, mental health)","Darwin","0800","NT","19 Harry Chan Avenue Darwin","City of Darwin","(08) 8944 8914","ccnt@nt.catholic.edu.au","https://www.catholiccarent.org.au","","family-support;counselling;community","Catholic social services across NT; family and carer support networks.","https://www.catholiccarent.org.au","2026-03-10","","","","true","valid"
"Salvation Army Darwin","Faith-Based Community Organisations","Darwin","0800","NT","Shop 21 Smith Street Mall Darwin","City of Darwin","(08) 8980 3900","","https://www.salvationarmy.org.au/find-us/northern-territory/darwin/","","faith;community;family-support","Community faith organisation with family support programs; useful local outreach channel.","https://www.salvationarmy.org.au/find-us/northern-territory/darwin/","2026-03-10","","","","true","missing"
"Danila Dilba Health Service","Aboriginal & Torres Strait Islander Services","Darwin","0800","NT","60 Elder Street Berrimah","City of Darwin","(08) 8942 5400","info@danilaDilba.org.au","https://www.danilaDilba.org.au","","aboriginal-health;primary-health;community","Aboriginal community-controlled health service covering greater Darwin; culturally safe outreach partner.","https://www.danilaDilba.org.au","2026-03-10","","","","true","valid"
"Central Australian Aboriginal Congress","Aboriginal & Torres Strait Islander Services","Alice Springs","0870","NT","4 Skinner Street Alice Springs","Alice Springs Town Council","(08) 8951 4400","reception@caac.org.au","https://www.caac.org.au","","aboriginal-health;primary-health;alice-springs","Aboriginal community-controlled health service for Alice Springs; key partner for central NT outreach.","https://www.caac.org.au","2026-03-10","","","","true","valid"
"NAAJA (North Australian Aboriginal Justice Agency)","Aboriginal & Torres Strait Islander Services","Darwin","0800","NT","11 Lindsay Street Darwin","City of Darwin","(08) 8982 5100","naaja@naaja.org.au","https://www.naaja.org.au","","aboriginal;justice;advocacy","Legal and justice advocacy for Aboriginal people across Top End; community trust network.","https://www.naaja.org.au","2026-03-10","","","","true","valid"
"Dawn House","Parent/Carer Support Organisations","Darwin","0800","NT","6 Caryota Court Coconut Grove","City of Darwin","(08) 8945 0155","info@dawnhouse.org.au","https://www.dawnhouse.org.au","","domestic-violence;women;family","Women's refuge and support services; connects with vulnerable families who may benefit from autism workshops.","https://www.dawnhouse.org.au","2026-03-10","","","","true","valid"
"Top End Women's Legal Service","Parent/Carer Support Organisations","Darwin","0800","NT","Level 2 Darwin Central 21 Knuckey Street","City of Darwin","(08) 8982 3000","admin@tewls.org.au","https://www.tewls.org.au","","legal;women;advocacy","Legal service for women in Top End; community reach relevant to family-focused outreach.","https://www.tewls.org.au","2026-03-10","","","","true","valid"
"Darwin Community Legal Service","NGOs/Charities (family, disability, mental health)","Darwin","0800","NT","28 Knuckey Street Darwin","City of Darwin","(08) 8982 1111","admin@dcls.org.au","https://www.dcls.org.au","","legal;community;advocacy","Free community legal service; connects with disadvantaged families and carers.","https://www.dcls.org.au","2026-03-10","","","","true","valid"
"Multicultural Council of NT","Multicultural & Settlement Services","Darwin","0800","NT","Cnr Smith Street and Stokes Street Darwin","City of Darwin","(08) 8941 1134","mcnt@mcnt.org.au","https://www.mcnt.org.au","","multicultural;settlement;community","Peak multicultural body for NT; essential partner for reaching CALD families.","https://www.mcnt.org.au","2026-03-10","","","","true","valid"
"Darwin Community Arts","Community Centres & Neighbourhood Houses","Darwin","0800","NT","72 Woods Street Darwin","City of Darwin","(08) 8981 6811","info@darwincommunityarts.org.au","https://www.darwincommunityarts.org.au","","arts;community;inclusion","Community arts hub; useful promotional channel and inclusive community network.","https://www.darwincommunityarts.org.au","2026-03-10","","","","true","valid"
"YMCA NT","Youth Services","Darwin","0800","NT","151 East Point Road Fannie Bay","City of Darwin","(08) 8981 9944","","https://www.ymcant.org.au","","youth;recreation;inclusion","NT YMCA operates youth and family programs; relevant for autism workshop promotion.","https://www.ymcant.org.au","2026-03-10","","","","true","missing"
